,Date,Donor,Purpose,Amount,Country,medical,children,education,skill_development_project,building,relief,covid_19,foodbank,food,teen,women_empowerment,charity,community,non_reg_purpose,value_amount
30,2019-07-09,community justice,children,111500,sweden,0,1,0,0,0,0,0,0,0,0,0,0,0,0,111500
31,2019-07-24,operation blessing,children,96420,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,96420
32,2019-07-29,it will be,children,442751,spain,0,1,0,0,0,0,0,0,0,0,0,0,0,0,442751
33,2019-08-31,operation blessing,children,96420,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,96420
34,2019-09-27,streets of india,children,73515,india,0,1,0,0,0,0,0,0,0,0,0,0,0,0,73515
35,2019-10-30,streets of india,children,40796,india,0,1,0,0,0,0,0,0,0,0,0,0,0,0,40796
36,2019-11-06,operation blessing,children,98583,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,98583
37,2019-11-06,operation blessing,children,71460,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,71460
38,2019-12-02,streets of india,children,45407,india,0,1,0,0,0,0,0,0,0,0,0,0,0,0,45407
39,2019-12-02,operation blessing,children,71460,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,71460
40,2019-12-07,it will be,children,442751,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,442751
41,2019-12-20,operation blessing,children,71460,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,71460
42,2020-01-23,operation blessing,children,71460,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,71460
43,2020-03-18,operation blessing,children,142920 inr,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1572
44,2020-04-06,streets of india,children emergency relief,2045euro,india,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2045
